Year,Month,Electricity Transport rate (Euro/day),Fixed delivery rate (Euro/day),ODE tax (Environmental Taxes Act) (Euro/kWh),Energy tax (Euro/kWh),Variable delivery rate (Euro/kWh)
2021,January,0.705095890410959,0.19542465753424657,0.0363,0.11408,0.0697
2021,February,0.705095890410959,0.1961917808219178,0.0363,0.11408,0.0735
2021,March,0.705095890410959,0.1961917808219178,0.0363,0.11408,0.0753
2021,April,0.705095890410959,0.19758904109589043,0.0363,0.11408,0.0768
2021,May,0.705095890410959,0.19758904109589043,0.0363,0.11408,0.0779
2021,June,0.705095890410959,0.19758904109589043,0.0363,0.11408,0.0812
2021,July,0.705095890410959,0.2007123287671233,0.0363,0.11408,0.0928
2021,August,0.705095890410959,0.2007123287671233,0.0363,0.11408,0.0942
2021,September,0.705095890410959,0.2007123287671233,0.0363,0.11408,0.1064
2021,October,0.705095890410959,0.2007123287671233,0.0363,0.11408,0.127
2021,November,0.705095890410959,0.2007123287671233,0.0363,0.11408,0.1755
2021,December,0.705095890410959,0.19950684931506849,0.0363,0.11408,0.2188
